47
Moved from 1 to 6 (dice = 5, lucci = 2)
Moved from 6 to 10 (dice = 4, lucci = 2)
Moved from 10 to 13 (dice = 3, lucci = 3)
Moved from 13 to 19 (dice = 6, lucci = 2)
Moved from 19 to 25 (dice = 6, lucci = 2)
Moved from 25 to 31 (dice = 6, lucci = 1)
Moved from 31 to 33 (dice = 2, lucci = 3)
Moved from 33 to 39 (dice = 6, lucci = 1)
Moved from 39 to 41 (dice = 1, lucci = 3)
Moved from 41 to 44 (dice = 4, lucci = 1)
Moved from 44 to 52 (dice = 6, lucci = 3)
Moved from 52 to 55 (dice = 3, lucci = 5)
Moved from 55 to 64 (dice = 6, lucci = 5)
Moved from 64 to 6 (dice = 6, lucci = 2)
Moved from 6 to 10 (dice = 4, lucci = 2)
Moved from 10 to 19 (dice = 5, lucci = 2)
Moved from 19 to 25 (dice = 6, lucci = 2)
Moved from 25 to 31 (dice = 6, lucci = 1)
Moved from 31 to 41 (dice = 5, lucci = 3)
Moved from 41 to 43 (dice = 2, lucci = 2)
